Citation,Question,Answer,Category
10.1002/adma.201502403,"When describing gradient structures, they can be gradients in? A) dimension B) composition C) both dimension and composition",C,General
10.1002/adma.201901561,What is the structure found in many crustaceans? A) Cable B) Bouligand  C) Dendritic,B,General
10.1016/j.pmatsci.2007.06.001,What is scanning electron microscopy used for? A) imaging biological materials B) testing biological materials for mechanical strength C) measuring strain rate sensitivity of biological materials ,A,General
10.1016/j.jbiomech.2004.09.027,What is Micro-CT used for? A)  To see internal structures in biological materials  B)  To test the bending strength of biological materials C) To measure Young’s Modulus of biological materials,A,General
10.1016/j.jbiomech.2004.09.027,Which is true about cellulose microfibrils? A) They have both crystalline and amorphous regions B) They are fully crystalline C) They are fully amorphous,A,General
10.1016/j.msec.2010.12.002,"In the cell wall of wood, what is the hemicellulose reinforced with? A) Lignin B) Chitosan C) Chitin",A,General
10.1016/j.msec.2015.10.033,How does hydration typically affect crustacean exoskeletons? A) Hydration causes no effect B) More hydrated exoskeletons tend to be more rigid and brittle than hydrated exoskeletons C) More hydrated exoskeletons tend to be more flexible and ductile,C,General
10.1016/j.pmatsci.2015.06.001,"For keratinous materials like sheep horns and horse hooves, which statement is true? A) Wet samples are more ductile than dry samples B) Wet samples are more brittle than dry samples C) Wet samples behave the same as dry samples",A,General
10.1126/science.1218764,Which of the following biological materials is most notable for impact resistance? A) Stomatopod dactyl club B) Plant stems C) Bird feathers,A,General
10.1098/rsif.2012.0341,What material majorly composes plant cell walls? A) Chitin B) Cellulose C) Chitosan,B,General
10.1016/j.pmatsci.2007.05.002,"What is crack deflection? A) a toughening mechanism where tortuous crack paths increase energy absorption B) a self assembly mechanism where cracks heal C) a process where cracks propagate in a straight line, minimizing energy absorption",A,General
10.1002/adma.201502403,Which is NOT really an example of a overlapping structure? A) chiton exoskeleton B) pangolin shell C) palm leaves,C,General
10.1002/adma.201502403,"Which is the correct desciption of a cellular structure? A) lightweight, porous or foam B) rigid and solid C) liquid and amorphous ",A,General
10.1002/adma.201502403,What is the correct description of a tubular structure? A) organized porous cylinders B) cubic and translucent C) flat interfaces,A,General
10.1016/j.pmatsci.2007.05.002,Which combination of inorganic-organic components is found in bone? A) Hydroxyapatite and collagen B) Hydrochloric acid and collagen C) Hydroxyapatite and elastin,A,General
10.1016/j.pmatsci.2007.05.002,What material majorly composes crustacean exoskeletons? A) Cellulose B) Chitin C) Keratin,B,General
10.1016/j.pmatsci.2007.05.002,"What material majorly composes nails, horns, hooves, and hair? A) Cellulose B) Chitin C) Keratin",C,General
10.1016/j.pmatsci.2007.05.002,What do Ashby plots for biological materials typically display? A) Strength as a function of density B) Strain rate to deformation and failure mode C) Microstructure to macrostructure,A,General
10.1016/j.pmatsci.2007.05.002,Which phase of biominerialized biological materials is typically harder? A) mineral component is harder B) organic component is harder C) mineral and organic component are the same,A,General
10.1016/j.pmatsci.2007.05.002,What are insect cuticles typically made of? A) Cellulose B) Chitin C) Keratin,B,General
